Name,Category,Public ID,Weight,Price,Fat,Protein,Carbs,KCal
Каша Mollis овсяная с молоком со вкусом абрикоса 40г,Только в «Пятёрочке» ,0ac462f4-5bbb-4883-b070-fad21f7b86f9,40 g,20,5.5,10,63,360
Хлопья Селяночка пшенные не требующие варки 400г,Только в «Пятёрочке» ,8b8c9af8-3659-4fdc-812b-be22c70da640,400 g,70,2.5,10,75,360
Каша Красная Цена Традиционная овсяная со сливками быстрого приготовления 35г,Только в «Пятёрочке» ,1dd0e981-eca8-4141-b23b-93c2d306abc9,35 g,7,6,11,55,320
Сыр Красная цена Российский,Только в «Пятёрочке» ,ae5c0386-148c-4a0d-89dd-7e003000bab4,350 g,175,0,25.5,24.5,330
Сыр твёрдый LiebenDorf Голландский тёртый 45% 200г,Только в «Пятёрочке» ,18563ccc-b79b-48a8-9b90-172cb29d733e,200 g,200,0,26.8,26,345
Сыр Liebendorf Гауда полутвердый 45% вес,Только в «Пятёрочке» ,ce184e5c-13df-4f3b-aad4-0174ba121af6,350 g,311,0,26,26,343
Сырный продукт Моя цена По-Российски классический 50%,Только в «Пятёрочке» ,c320f018-1cab-4c7d-9e34-6ab98b851fa1,400 g,160,30,23,0,362
Сыр Свежий Ряд Косичка копченый 40% 100г,Только в «Пятёрочке» ,78cae868-7959-4c1a-b28f-ab06bcbc10cf,100 g,140,24,23,0,308
Сыр рассольный Свежий Ряд Чечил 45%,Только в «Пятёрочке» ,4b6769bf-2e1f-42f8-bf3e-d966a22ff86a,100 g,150,0,22,20,280
Сыр Красная цена Голландский,Только в «Пятёрочке» ,2290cb98-839d-405d-80f9-17330a91ac4a,400 g,320,0,25.2,26.8,334
Сыр Turatti Моцарелла 45% ,Только в «Пятёрочке» ,4e72cd00-7fa6-4e3f-bca1-5bb2a7888bb3,225 g,160,0,22.5,23.5,297
Сыр Liebendorf Чизбургер плавленый 45% 130г,Только в «Пятёрочке» ,43149199-507a-485b-9863-ba54d298db8d,130 g,100,20,8,9,250
Сыр Свежий Ряд российский нарезка 150г,Только в «Пятёрочке» ,9be49d3b-91e3-44ec-82d8-175550e055af,150 g,130,0,26.3,25.7,340
Сыр Montarell Камамбер с белой плесенью 55%,Только в «Пятёрочке» ,894ad0a5-33a9-4ec7-8e86-312f57f3a697,125 g,210,0,27.5,17.5,317.5
Сыр Свежий ряд Пошехонский полутвердый 45% вес.,Только в «Пятёрочке» ,9ae02a1c-d584-4e04-a20b-d52a140b375a,350 g,297,24.6,25.2,0,320
Пармезан Trattoria di Maestro Turatti твердый 40%,Только в «Пятёрочке» ,afbbbce8-bb22-431d-a99a-afd24fdfbc41,300 g,450,24,27.7,0,327
Сыр LiebenDorf Маасдам полутвердый нарезка 150г,Только в «Пятёрочке» ,3d9530c6-c5b8-41f7-bf4b-cefad004217f,150 g,150,0,25,25,330
Сыр Montarell Бри мягкий 60%,Только в «Пятёрочке» ,a39e39d8-c245-452d-a94b-46fafea8a218,125 g,210,32,17,0,356
Сыр полутвёрдый Liebendorf Гауда нарезка,Только в «Пятёрочке» ,6224a8a3-50ab-45ea-a22c-b8f08fc6fad9,150 g,140,27.4,25,0,346.6
"Сыр плавленый LiebenDorf Сливочный 50%, 130г",Только в «Пятёрочке» ,32d6b5dc-f055-4143-a6d2-04cf11128cdc,130 g,100,3.8,22.9,13.3,274.5
Сыр Liebendorf С ветчиной плавленный 55% 400г,Только в «Пятёрочке» ,14e30956-56cc-411a-b015-cd1a4ed71d84,400 g,240,8,25,8.5,285
Сыр Trattoria Turatti  Моцарелла для пиццы 40% 200г,Только в «Пятёрочке» ,4d351bba-041e-4940-bcbe-0468488ccf68,180 g,200,0,22.5,23.5,297
Сыр рассольный Свежий Ряд Косичка сырная 150г,Только в «Пятёрочке» ,0fc1fcf4-3dc4-451d-9f51-76506b59162a,150 g,210,0,22,20,280
Сыр Liebendorf эдам,Только в «Пятёрочке» ,31979a3d-02e1-49d0-a305-8260633a58ff,400 g,356,0,25.2,24.2,320
Сыр твёрдый Liebendorf Тильзитер 48%,Только в «Пятёрочке» ,60dfeab7-84d0-4f4f-a07a-e93e8e5583fd,150 g,140,25.6,26.1,0,334.8
Сыр Свежий Ряд Адыгейский копченый мягкий,Только в «Пятёрочке» ,00977862-334a-402b-b6a2-5738ae716e8a,300 g,240,0,20,21,264
Карбонад Мясная Ферма из свинины копчено-вареный,Только в «Пятёрочке» ,b991deae-6398-4859-85ed-1c65488a6c9a,100 g,100,13,15,0,177
Рулет из мяса птицы Мясная Ферма Филейный копчёно-варёный,Только в «Пятёрочке» ,bc3de1c9-03f6-486c-a10f-beac7d674003,100 g,100,3,14,2,91
Крылышки куриные Коптильный двор в/к,Только в «Пятёрочке» ,64560d81-5a08-40f1-8f9c-a0680add467d,400 g,240,0,0,0,170
Ребра свиные Мясная Ферма копчено-вареные,Только в «Пятёрочке» ,94e87da5-7761-4942-8ed2-af39dce8e6d0,600 g,330,31,9,0,315
Бекон Коптильный двор из свинины с/к 350г,Только в «Пятёрочке» ,0a6f54b5-7b53-4220-9ed2-a3c2c10089da,350 g,280,50,10,0,490
Окорочок Коптильный Двор в/к,Только в «Пятёрочке» ,9c8ee00e-ec7b-4afc-8cc3-eeb5c66e5ad4,600 g,336,15,17,0,200
Грудинка Мясная Ферма свиная копчено-вареная 150г,Только в «Пятёрочке» ,5c824551-1ad7-46e4-a9b1-2b8200cc13da,150 g,170,0,0,0,350
Голень цыплят Коптильный двор копчено-вареная,Только в «Пятёрочке» ,5f5455c2-7e9f-4d36-b342-c796d3ec9273,550 g,319,15,17,0,200
Колбаса Красная цена Классическая вареная,Только в «Пятёрочке» ,7e4b723b-0e6e-4681-82bb-4f49ca524dd4,1 kg,120,13,8,13,201
Зельц Мясная Ферма прессованное мясо 400г,Только в «Пятёрочке» ,e4fb2cea-cde7-41fc-a03d-78f98d362fcb,400 g,160,18,16,0,224
Ветчина Красная Цена из индейки,Только в «Пятёрочке» ,ee00f1ee-fc0e-4b08-8137-b173d7d6f754,400 g,100,5,13,7,125
Колбаса Красная Цена Классическая варёная 350г,Только в «Пятёрочке» ,96e4df19-da26-4456-b144-bbdb5d47ac55,350 g,36,13,8,13,201
Грудка цыпленка Коптильный двор копчено-вареная вес до 800 г,Только в «Пятёрочке» ,6768804b-b5ae-4415-b624-fea7a32375ec,800 g,440,3,19,0,431
Сервелат варено-копченый Мясная Ферма 300г,Только в «Пятёрочке» ,3bcf1245-0027-4995-89ee-3fc95bedb2b5,300 g,250,27,10,0,283
Колбаса Красная Цена Ароматная с/к 300г,Только в «Пятёрочке» ,0da7b7de-0a60-47cb-88d8-385cea5913f3,300 g,156,30,24,0,366
Паштет Красная Цена печеночный 150г,Только в «Пятёрочке» ,a8a1651d-3aeb-41d4-a4f5-e30c57bba5e2,150 g,20,18,6,6,210
Студень Красная цена Сытный 300г,Только в «Пятёрочке» ,2aebd216-9894-4841-9705-cab027ecaea0,300 g,70,10,9,0,204
Колбаса Мясная ферма Брауншвейгская сырокопченая  полусухая 300г,Только в «Пятёрочке» ,96624efa-be4a-4de0-83ee-0ca4fc43e3a4,300 g,370,41,22,0,261
Квас Русский Узор живого брожения 1.5л,Только в «Пятёрочке» ,cfc727f7-ca66-41b6-81e8-9d128904547a,1.5 l,100,0,0,8.5,40
"Печенье Шарлиз сдобное апельсин, 137г",Только в «Пятёрочке» ,cc66d932-d214-4aa8-8884-9af7b761c3db,137 g,80,4.5,3.5,60,294
Вафли Шарлиз Голландские с карамельной начинкой 290г,Только в «Пятёрочке» ,eeb53058-ff3f-4f7b-a6f9-aad86919f989,290 g,120,15,5.5,67,430
Печенье Красная цена овсяное 400г,Только в «Пятёрочке» ,2dc23004-433a-48ec-a8e1-eddc6c19e5b9,400 g,48,10.1,5.7,69.2,391
"Вафли Шарлиз Венские со сгущёнкой, 100г",Только в «Пятёрочке» ,c7cf029f-8ce7-4955-85ec-a709138bc15b,100 g,60,19,8,53,420
Печенье Шарлиз Американо сдобное,Только в «Пятёрочке» ,a47d0c54-f340-45a4-a48f-98ba159f5e0f,250 g,110,24,5.5,60,480
Пряники Красная Цена 400г,Только в «Пятёрочке» ,5674b862-2b15-4e1f-9cd4-9073e8a3d069,400 g,55,4,6,74.5,352
Вафли мягкие Шарлиз с суфле и фруктовой начинкой Вишня 144г,Только в «Пятёрочке» ,aad37ad6-ad12-462f-bd0e-eba94729d0ea,144 g,75,22,5,52,430
"Сдобные палочки Шарлиз Снежка с абрикосовым джемом, 370г",Только в «Пятёрочке» ,d1020c81-09d8-43d7-880e-e71002a5f9f2,370 g,140,13,6.5,63,400
"Вафли Шарлиз мягкие с суфле и карамелью, 144г",Только в «Пятёрочке» ,ffd6c5b8-3a20-417a-a36f-13ce21ff6d8b,144 g,75,23,5,52,435
Вафли мягкие Шарлиз с суфле и начинкой Черника 144г,Только в «Пятёрочке» ,97ad08ee-1494-49ce-bc5d-119cf4f0ad2e,144 g,75,22,8.8,56,457
"Печенье Шарлиз Нежное суфле, 240г",Только в «Пятёрочке» ,3c8bec67-7f8b-4cae-9041-02b0e653e396,240 g,100,17,3.5,62,420
Печенье Красная Цена Мария затяжное 300г,Только в «Пятёрочке» ,0086e6ec-bf3e-4536-81ce-a1624ea5dd7e,300 g,60,9,8,73,403
Вафли Красная цена со вкусом сливок 200г,Только в «Пятёрочке» ,9a380b4a-df3e-4bcf-a252-209fa11bee83,200 g,36,31,5,57,530
"Печенье Шарлиз сдобное имбирное с корицей, 230г",Только в «Пятёрочке» ,bd6fe458-ed25-4e74-b689-f54abc93f0b1,230 g,110,12,7,70,420
Печенье сдобное Шарлиз Курабье с вишневой начинкой 180г,Только в «Пятёрочке» ,0c19aa5e-e199-4331-8307-74ad0ae10a1d,180 g,80,23,6,58,470
Печенье Вкус и Польза овсяное на фруктозе 340 г,Только в «Пятёрочке» ,936a615c-8cc2-495b-8fe2-cf9a89708e6f,340 g,110,17,7,40,250
Печенье Зерница традиционное сахарное глазированное 120г,Только в «Пятёрочке» ,003e7911-962b-430f-8f06-713a1f450942,120 g,50,18,7,66,450
"Вафли Шарлиз Парижские сахарные, 150г",Только в «Пятёрочке» ,89192a92-9708-43a3-814a-e5b614271903,150 g,80,22,8.8,56.3,460
Печенье Красная цена Чайное сахарное 300г,Только в «Пятёрочке» ,85707ebb-4542-42ea-b18f-7eba6b7d96e9,300 g,52,15,7.5,72,450
Пряники Зерница Славянские мятный вкус 400г,Только в «Пятёрочке» ,8d10e662-d9ba-48e6-873d-ddcb258d1175,400 g,100,4.5,6.5,73,360
Печенье Зерница сахарное с топленым молоком 300г,Только в «Пятёрочке» ,fede16e9-d818-47fb-8cde-8d7d4176c021,300 g,75,30,7,54,526
"Печенье Шарлиз Кокосанка сдобное, 270г",Только в «Пятёрочке» ,a71b9724-c94b-40f5-9ac1-765323fbb075,270 g,140,19.5,7,64.7,479
"Вафли Зерница со вкусом шоколада, 200г",Только в «Пятёрочке» ,8274809d-cb71-47da-b8d1-603bce6bb513,200 g,70,35,3.5,54,550
Печенье Зерница сахарное с изюмом 300г,Только в «Пятёрочке» ,dcb521da-fe79-4a6d-ad35-5dd481e05cd6,300 g,75,30,7,54,526
Печенье Шарлиз овсяное 5 злаков 250г,Только в «Пятёрочке» ,1b2ac3cd-785c-4b2c-901d-57058a33564c,250 g,100,20,7.6,59.7,449
Трубочка Шарлиз фруктовая 500г,Только в «Пятёрочке» ,df166f17-9430-4b2f-97ec-3cfd159e651a,500 g,200,25,4,45,420
Вафли Cuisine royale сливочные рифленые 120г,Только в «Пятёрочке» ,24f0f003-9f68-448b-867e-365a89a7ec04,120 g,60,22,6,66,490
Вафли Зерница Топлёное Молоко 200г,Только в «Пятёрочке» ,aceedcc1-7241-457c-bc50-545c128e76f5,200 g,70,30,4.5,62,530
Печенье Шарлиз овсяное классическое с кусочками шоколада,Только в «Пятёрочке» ,a68d26cb-33cd-4060-b9b9-0c073fb6b565,250 g,120,17,6,70,455
Печенье Шарлиз Классическое овсяное,Только в «Пятёрочке» ,6b06e86a-6fc1-4a7c-882f-43314227f033,250 g,100,15,6,70,440
"Печенье Зерница Традиционное, 120г",Только в «Пятёрочке» ,6ccb5cc1-9ecb-4936-b460-6ed881724387,120 g,30,18,7,68,450
Вафли Зерница со вкусом лимона 200г,Только в «Пятёрочке» ,97459211-731d-4dc7-ac23-6a72cf0294e6,200 g,70,35,3,55,550
"Вафли Зерница с жировой начинкой со вкусом лесного ореха, 200г",Только в «Пятёрочке» ,886a151b-1ebe-4064-8098-1ce3448c9ea8,200 g,70,35,3.5,55,550
Сухарики Mix Bar ржано-пшеничные со вкусом томата и зелени,Только в «Пятёрочке» ,6de0a97e-f407-41db-9d4f-152fa979de0b,50 g,18,9.1,10,75.1,422
Сухарики Mix Bar ржаные со вкусом сёмги и сыра,Только в «Пятёрочке» ,028147c4-aa0a-4b00-8eca-cbe2d819908a,50 g,18,11,8.5,73,380
Сухарики MixBar ржано-пшеничные со вкусом бекона,Только в «Пятёрочке» ,547f7b5e-dcee-4e7b-9691-c73087ca564c,50 g,18,9.1,10,75.1,422
Крабовые палочки Красная цена имитация замороженные,Только в «Пятёрочке» ,70ff2df1-0baf-411f-8a97-cc66eb067b4a,200 g,50,1.3,4.5,18.2,103
Крабовые палочки Красная цена 180г,Только в «Пятёрочке» ,c2aa777a-3e19-443c-a648-08bd7496e972,180 g,51,2.6,4.6,16.7,109
"Палочки крабовые Красная Цена имитация замороженные, вес.",Только в «Пятёрочке» ,83ffa146-8272-465f-859c-469fb8b0e107,200 g,54,1.3,4.5,18.2,103
Кислота лимонная Рестория пищевая 80г,Только в «Пятёрочке» ,8725d661-c8cc-4dd4-8f74-b21c36e16aff,80 g,40,0,0,0,0
Сухари Рестория панировочные 150г,Только в «Пятёрочке» ,75aeb98d-6ddc-4b06-9ad0-92d4988ce0c1,150 g,63,9,9,67,395
Приправа Красная Цена для мяса 15г,Только в «Пятёрочке» ,5bccbb58-3dfc-4ea9-86a5-7865a457beb6,15 g,7,5,8,20,160
Приправа Рестория для плова,Только в «Пятёрочке» ,6df6a08d-b8c4-43ea-a297-f6531cfcad1a,15 g,40,11,10,15,249
Смесь панировочная Красная цена 200 г,Только в «Пятёрочке» ,79703ef4-ecc1-465b-8b8a-de4ffae8e6d8,200 g,47,1.5,11,68,330
Гвоздика Рестория целая 15г,Только в «Пятёрочке» ,de456ea7-54b6-4550-8a55-7e11c5be96cf,15 g,73,13,6,65.5,274
Ананасы Global Village кольца 580г,Только в «Пятёрочке» ,1899877a-5ea9-4d06-9000-3612ce48a480,580 g,190,0.1,0.4,17,70
Ананасы Красная Цена кольца в сиропе 580мл,Только в «Пятёрочке» ,8e900b38-c6f6-445c-8de7-c16ceae5e402,580 g,154,0,0,15,60
Ананасы Красная цена кусочки в легком сиропе,Только в «Пятёрочке» ,66ee4191-6495-4cb4-8036-2bfaed3c0978,580 ml,134,0.1,0.3,15,64
Тропический коктейль Global Village в сиропе 565г,Только в «Пятёрочке» ,914b3e8c-d38d-4374-808a-db54aa0d1524,565 g,180,0,0,13.8,100
Персики Global Village половинки в сиропе 820г,Только в «Пятёрочке» ,71b12600-b3c6-4ab9-b001-a8c0246d01a4,820 g,260,0,0.5,15,60
